Название компании,Название улицы,Размер гранта,Фискальный год,Тип бизнеса,Количество рабочих мест
Ask Investment Corp dba Dollar Plus Savings,7th St NW/Georgia Avenue NW,"$85,000.00 ",2013,Convenience Store,4
"Compass Coffee, LLC dba Compass Coffee",7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Coffee Shop,24
Ivy & Coney,7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Restaurant,48
Gwynn Inc. dba Halcyon,7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Salon/Barbershop,8
Henderson Enterprise dba Wanda's on 7th,7th St NW/Georgia Avenue NW,"$74,719.28 ",2014,Salon/Barbershop,54
"Pekoe Acupuncture and Wellness Center, PLLC",7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Wellness Center,19
Beyond Collective LLC dba Beyond Collective,7th St NW/Georgia Avenue NW,"$35,000.00 ",2016,Creative Production Agency,69
"Rito Loco, LLC",7th St NW/Georgia Avenue NW,"$85,000.00 ",2016,Fast Casual Resturant,16
"MPH Solutions Group, LLC dba Reformation Fitness",7th St NW/Georgia Avenue NW,"$50,000.00 ",2016,Fitness Studio,38
"Mimi and D, LLC dba PH9 Restaurant",7th St NW/Georgia Avenue NW,"$85,000.00 ",2016,Restaurant,23
"John Coulton dba Yang Fire, LLC",7th St NW/Georgia Avenue NW,"$70,000.00 ",2016,Restaurant,25
"Beau Thai Shaw, LLC",7th St NW/Georgia Avenue NW,"$57,333.75 ",2016,Restaurant,49
"Abal, LLC t/a Chercher Ethiopian Restaurant and Mart",7th St NW/Georgia Avenue NW,"$41,296.00 ",2016,Restaurant and Market,9
"SiTea, LLC dba SiTea Teas and Treats (Calabash)",7th St NW/Georgia Avenue NW,"$60,122.09 ",2016,Teahouse/Vegetarian Cafe/Retail Shop,38
"Contactually, Inc.",7th St NW/Georgia Avenue NW,"$64,629.00 ",2016,Technology (Software as a Service),130
Florida Avenue Grill,7th St NW/Georgia Avenue NW,"$49,500.00 ",2016,Restaurant,25
"Off Road Cycling, LLC",7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Bicycle Store,0
D&G Enterprises of Washington dba Central Communications,7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Internet Service Provider,3
Bouche LLC dba 1905 Bistro,7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Restaurant/Eatery,9
DigiDoc Inc dba Document Managers,7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,Technology (Software as a Service),0
"iStrategyLabs, LLC",7th St NW/Georgia Avenue NW,"$70,000.00 ",2015,Digital Marketing,137
